"Beta","mu_I","rho","mu_R1","mu_R2","loglik","loglik.se"
0.01,2,0.9,0.332467532467532,0.554112554112554,-137.490268473331,4.15777107405229
0.00434083385141405,1.67884222231449,0.900249662729528,0.332467532467532,0.554112554112554,-73.8265771950549,0.97756033384561
0.00466593442242933,1.67191775034903,0.856239056721758,0.332467532467533,0.554112554112554,-74.8443654242681,0.348485191126435
0.00449189012317005,1.28401120177211,0.833171889738577,0.332467532467532,0.554112554112554,-76.4013591176901,0.241880334299039
0.00459425561334564,1.55412524293865,0.902960485562593,0.332467532467532,0.554112554112554,-76.0328651278936,0.327440586987691
0.00390390726378885,1.462789670125,0.903917240119262,0.332467532467532,0.554112554112554,-74.7512462370153,0.706375530615855
0.0046022370799364,1.71045388548331,0.871553597859009,0.332467532467532,0.554112554112554,-74.796954172945,0.220194606522999
0.00473537013694966,1.66836017821098,0.858252473094744,0.332467532467532,0.554112554112554,-72.8497886935138,2.60335336162372
0.00445991640150922,1.80146196818293,0.934337094997271,0.332467532467532,0.554112554112554,-74.0885752444482,0.316742837269338
0.00459649299212233,1.87764038373505,0.923888259310429,0.332467532467532,0.554112554112554,-74.4200601446812,0.221209609742093
0.00478423994101459,1.91013186910099,0.930595783255,0.332467532467532,0.554112554112554,-74.5092727603996,0.250761412538907
0.00504966120069122,2.17980778776529,0.943521988677999,0.332467532467533,0.554112554112554,-73.940974882534,0.429052895833251
0.00487830409477579,1.48213242643326,0.813977734975763,0.332467532467532,0.554112554112554,-75.6721353311367,0.68044491563877
0.00426200210718524,1.54057908663381,0.867980714994674,0.332467532467532,0.554112554112554,-74.2488651977739,0.375417775598279
0.0043719758084205,1.58888114034197,0.904104584362945,0.332467532467532,0.554112554112554,-75.320777176443,0.27289141786587
0.00436461421532213,1.77321881489581,0.930560163597319,0.332467532467533,0.554112554112554,-74.2685594602155,0.198378022114128
0.00443799378718743,1.87534167289416,0.927558000752531,0.332467532467532,0.554112554112554,-74.1445588001023,0.239194460369553
0.00486406243144671,2.18951093638549,0.911938408044466,0.332467532467532,0.554112554112554,-75.5735408863305,0.185413899998204
0.00460940534258245,1.86383566853114,0.866551789333692,0.332467532467532,0.554112554112554,-74.5612250181646,0.494523823351447
0.00432685733057572,1.53687389819035,0.882926500115041,0.332467532467532,0.554112554112554,-73.662471434605,1.16722589009012
0.00419411635911875,1.58966023035359,0.941685958715229,0.332467532467532,0.554112554112554,-74.1065115835271,0.363451906796946
